Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,20.0,1000,1017,911,16,20407.835938,0.000784
2,1000,0.1,0.2,20.0,1000,995,874,1,19828.062500,0.000050
3,1000,0.1,0.2,20.0,1000,1001,895,4,20322.750000,0.000197
4,1000,0.1,0.2,20.0,1000,1001,904,18,19548.800781,0.000921
5,1000,0.1,0.2,20.0,1000,978,881,12,19512.636719,0.000615
6,1000,0.1,0.2,20.0,1000,1034,933,23,19750.294922,0.001165
7,1000,0.1,0.2,20.0,1000,984,871,6,19558.822266,0.000307
8,1000,0.1,0.2,20.0,1000,991,892,1,20531.404297,0.000049
9,1000,0.1,0.2,20.0,1000,1025,925,8,20587.880859,0.000389
10,1000,0.1,0.2,20.0,1000,994,900,5,19978.337891,0.000250
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,20.0,1000,1045,849,18,20405.707031,0.000882
2,1000,0.2,0.2,20.0,1000,1013,811,1,19896.066406,0.000050
3,1000,0.2,0.2,20.0,1000,1050,846,4,20414.085938,0.000196
4,1000,0.2,0.2,20.0,1000,1044,845,9,19788.425781,0.000455
5,1000,0.2,0.2,20.0,1000,1041,826,24,20003.429688,0.001200
6,1000,0.2,0.2,20.0,1000,1081,867,8,19901.804688,0.000402
7,1000,0.2,0.2,20.0,1000,1062,845,10,20288.570312,0.000493
8,1000,0.2,0.2,20.0,1000,1032,824,1,21031.138672,0.000048
9,1000,0.2,0.2,20.0,1000,1083,848,12,20024.082031,0.000599
10,1000,0.2,0.2,20.0,1000,1030,827,1,19818.785156,0.000050
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,20.0,1000,1220,753,5,20681.414062,0.000242
2,1000,0.4,0.2,20.0,1000,1153,682,1,19878.525391,0.000050
3,1000,0.4,0.2,20.0,1000,1195,732,1,20120.292969,0.000050
4,1000,0.4,0.2,20.0,1000,1318,779,3,19879.527344,0.000151
5,1000,0.4,0.2,20.0,1000,1169,670,4,20498.039062,0.000195
6,1000,0.4,0.2,20.0,1000,1187,699,16,19851.046875,0.000806
7,1000,0.4,0.2,20.0,1000,1122,661,1,20122.535156,0.000050
8,1000,0.4,0.2,20.0,1000,1122,694,1,20558.175781,0.000049
9,1000,0.4,0.2,20.0,1000,1224,729,2,20094.296875,0.000100
10,1000,0.4,0.2,20.0,1000,1214,721,4,19763.457031,0.000202
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,20.0,1000,1433,621,1,20108.562500,0.000050
2,1000,0.6,0.2,20.0,1000,1322,564,1,19972.408203,0.000050
3,1000,0.6,0.2,20.0,1000,1340,536,1,19926.107422,0.000050
4,1000,0.6,0.2,20.0,1000,2715,1069,2,21113.753906,0.000095
5,1000,0.6,0.2,20.0,1000,1478,608,1,20281.222656,0.000049
6,1000,0.6,0.2,20.0,1000,1534,621,2,19760.759766,0.000101
7,1000,0.6,0.2,20.0,1000,1248,486,1,19549.359375,0.000051
8,1000,0.6,0.2,20.0,1000,1292,495,1,20758.853516,0.000048
9,1000,0.6,0.2,20.0,1000,1560,616,2,19951.830078,0.000100
10,1000,0.6,0.2,20.0,1000,1639,649,35,19736.685547,0.001773
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,20.0,1000,2248,458,14,20509.113281,0.000683
2,1000,0.8,0.2,20.0,1000,1653,343,2,20379.609375,0.000098
3,1000,0.8,0.2,20.0,1000,1798,355,1,20368.654297,0.000049
4,1000,0.8,0.2,20.0,1000,1213,258,1,19446.121094,0.000051
5,1000,0.8,0.2,20.0,1000,11773,2350,1,19504.937500,0.000051
6,1000,0.8,0.2,20.0,1000,1279,295,6,20042.873047,0.000299
7,1000,0.8,0.2,20.0,1000,1366,256,2,19802.123047,0.000101
8,1000,0.8,0.2,20.0,1000,4507,895,28,20868.140625,0.001342
9,1000,0.8,0.2,20.0,1000,3906,737,1,19950.806641,0.000050
10,1000,0.8,0.2,20.0,1000,3917,772,82,20080.310547,0.004084
